PROBLEM,BB_LOWER_BOUND,BB_UPPER_BOUND,BB_CTIME,HRKGA_MIN_LENGTH,HRKGA_MEAN_LENGTH,HRKGA_MIN_CTIME,HRKGA_MEAN_CTIME,GSOA_MIN_LENGTH,GSOA_MEAN_LENGTH,GSOA_MIN_CTIME,GSOA_MEAN_CTIME,CENTROID_MIN_LENGTH,CENTROID_MEAN_LENGTH,CENTROID_MIN_CTIME,CENTROID_MEAN_CTIME
3D_50_50_c,2346.942505757919,5382.1386354284,36022.761472,4939.75,4939.75,93.29,93.29,5075.55,5155.822,0.369,0.3719,4871.39,4871.39,0.001,0.0013000000000000002
3D_50_50_e,2597.87707787953,5905.393795093485,36005.466821999995,5367.97,5367.97,84.02,84.02,5479.71,5601.693,0.311,0.32349999999999995,5323.81,5323.8099999999995,0.004,0.004200000000000001
3D_50_50_d,2598.7510754771047,5013.946402670476,36037.193295,4569.16,4569.16,83.84,83.84,4704.64,4791.6449999999995,0.341,0.34440000000000004,4566.25,4566.25,0.001,0.0018000000000000002
3D_50_50_f,2693.1010539452154,5379.75519017417,36026.741498,4999.46,4999.46,83.64,83.64,5090.55,5135.198999999999,0.329,0.33140000000000003,4919.06,4919.0599999999995,0.001,0.0020000000000000005
7D_35_05_a,2136.04613721906,2136.04613721906,112.532209,,,,,2169.38,2170.4080000000004,39.0,46.8,2210.55,2210.5499999999997,0.0,0.5555555555555556
7D_40_05_a,2194.641478599132,2194.641478599132,145.16957399999998,,,,,2214.37,2215.157,42.0,51.4,2315.1,2315.1,0.0,0.3333333333333333
7D_50_05_a,2431.839902370342,2431.839902370342,123.188763,,,,,2487.71,2563.987,44.0,57.5,2504.44,2504.44,0.0,0.4444444444444444
7D_30_05_a,2381.1468110618566,2381.1468110618566,140.173876,,,,,2416.65,2420.7160000000003,44.0,49.4,2456.16,2456.16,0.0,0.5555555555555556
7D_45_05_a,1646.60001284269,1646.60001284269,100.95262,,,,,1674.52,1675.5030000000002,44.0,53.4,1686.63,1686.6300000000006,0.0,0.4444444444444444
7D_40_10_a,3249.735372246508,3776.351823533255,36009.741545,,,,,3879.04,4058.196000000001,123.0,130.7,3897.25,3897.25,0.0,0.8888888888888888
7D_45_10_a,3342.734499359753,3793.0687828690857,36280.507917,,,,,3886.77,3935.6910000000003,116.0,129.7,4059.98,4059.98,0.0,1.0
7D_30_10_a,3250.1268115061093,3937.671860930781,36073.955585,,,,,4037.03,4133.371,130.0,143.3,4001.35,4001.3499999999995,0.0,0.7777777777777778
7D_35_10_a,3499.0650376958,3770.317527979186,36375.741281,,,,,3858.81,3878.2709999999997,118.0,130.1,4011.64,4011.6400000000003,0.0,0.6666666666666666
7D_50_10_a,3518.4954937310204,4093.380920775028,36263.985606,,,,,4130.39,4174.222,122.0,135.7,4192.9,4192.900000000001,0.0,0.5555555555555556
7D_35_15_a,3086.0537279843247,5482.700439527294,36215.182239,,,,,5571.63,5662.652,266.0,291.2,5497.16,5497.16,1.0,1.4444444444444444
7D_50_15_a,3830.73930084286,6145.841470334623,36006.947187,,,,,6156.7,6350.148999999999,247.0,292.0,6054.29,6054.29,0.0,0.8888888888888888
7D_40_15_a,3508.271124412684,5145.669953490384,36554.088968,,,,,5177.65,5280.029,254.0,300.6,5090.21,5090.21,1.0,1.1111111111111112
7D_30_15_a,3918.003546553937,5752.400745995137,36001.547842,,,,,5824.86,5923.485,270.0,297.8,5704.88,5704.879999999999,1.0,1.6666666666666667
7D_45_15_a,3453.314332877552,5373.578686476019,36221.575318,,,,,5437.71,5571.364,245.0,269.2,5783.95,5783.949999999999,0.0,0.7777777777777778
7D_50_20_a,3290.694547341173,6889.481287154021,36173.939631,,,,,6874.39,6979.938,483.0,553.5,7005.39,7005.39,1.0,1.5555555555555556
7D_45_20_a,3359.973116262612,6234.197290262823,36647.383084,,,,,6327.05,6464.013000000001,465.0,492.5,6174.99,6174.989999999999,1.0,1.6666666666666667
7D_40_20_a,3689.9080840170936,6580.120588654179,36229.590838,,,,,6607.31,6736.472,477.0,503.9,6579.05,6579.050000000001,1.0,1.3333333333333333
7D_35_20_a,3684.804446488985,7359.306020836451,36013.774916999995,,,,,7426.63,7630.7029999999995,484.0,517.0,7289.37,7289.37,0.0,1.4444444444444444
7D_30_20_a,3502.899019748105,6854.233081466525,36242.436517,,,,,6908.87,7030.475,452.0,506.7,6676.35,6676.349999999999,1.0,2.0
7D_30_30_a,3852.9507583093423,9885.529432716394,36894.910345,9263.1,9263.1,82.67,82.67,9949.85,10260.921,1.416,1.4546000000000001,9571.28,9571.28,0.001,0.0024999999999999996
7D_35_35_a,3545.0524433025867,11279.958153119582,36959.50592,10704.0,10704.0,108.53,108.53,11602.4,11733.46,2.015,2.0802,11127.0,11127.0,0.002,0.0031
7D_40_40_a,3642.63021131764,11509.082578817472,36093.903706,10871.4,10871.4,113.17,113.17,11900.0,12196.51,2.571,2.6233999999999997,11286.2,11286.199999999999,0.002,0.0039
7D_45_45_a,3507.619965020805,12991.46092212257,36052.769343,12142.2,12142.2,144.83,144.83,13156.2,13477.550000000003,2.407,3.2078,12411.2,12411.199999999999,0.003,0.0050999999999999995
7D_50_50_a,3838.442958892706,14556.46114988456,36186.268285,13868.4,13868.4,160.47,160.47,15242.4,15552.609999999997,4.006,4.0922,14174.7,14174.7,0.003,0.0043
